scenario_id,name,location,sensor,modality,date,gsd_m,crs,dimensions,source,license,sha256,expected_capability,validation_status
001_chilika_water,Chilika Lagoon Open Water,"Chilika Lagoon (Balugaon Shoreline), Odisha, India",Sentinel-2 MSI,OPTICAL,2026-09-18T05:03:17.419000Z,10.0,EPSG:32645,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/45/Q/UB/2026/9/S2C_45QUB_20260918_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,6631247daf36cb93672be05118e273091446e0079178767c5c11142776f486d5,WATER_DELINEATION,CERTIFIED_VERIFIED
002_bengaluru_urban,Bengaluru Built-Up Land Cover,"Bengaluru, Karnataka, India",Sentinel-2 MSI,OPTICAL,2026-05-12T05:25:16.522000Z,10.0,EPSG:32643,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/P/GQ/2026/5/S2B_43PGQ_20260512_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,a06523027da4eef8251b05bcc8e739cda278055a0f769ba760c09ae42e94371b,SINGLE_IMAGE_VQA,CERTIFIED_VERIFIED
003_punjab_agriculture,Punjab Agricultural Vegetation,"Ludhiana, Punjab, India",Sentinel-2 MSI,OPTICAL,2026-09-18T05:50:20.779000Z,10.0,EPSG:32643,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/R/EQ/2026/9/S2B_43REQ_20260918_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,680acaaf57dc7285518db146d6d9ff8bb2e18b22127d05661470a1f8127ca940,VEGETATION_ASSESSMENT,CERTIFIED_VERIFIED
004_sundarbans_mangrove,Sundarbans Mangrove Delta,"Sundarbans Delta, West Bengal, India",Sentinel-2 MSI,OPTICAL,2026-09-15T04:52:28.180000Z,10.0,EPSG:32645,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/45/Q/XE/2026/9/S2C_45QXE_20260915_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,f994d5a4f3544cb153bb5de0e5b5c005237d37dea3593f5a60e039920fce7440,FEATURE_GROUNDING,CERTIFIED_VERIFIED
005_rajasthan_dryland,Thar Desert Dryland,"Jodhpur, Rajasthan, India",Sentinel-2 MSI,OPTICAL,2026-09-18T05:51:40.236000Z,10.0,EPSG:32643,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/R/CK/2026/9/S2B_43RCK_20260918_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,7b8bd7268bcd241893d5583c458e8e53f07f8f91b3904da38d948fd84dd26cfb,SINGLE_IMAGE_VQA,CERTIFIED_VERIFIED
006_rann_of_kutch,Rann of Kutch Salt & Mudflats,"Great Rann of Kutch, Gujarat, India",Sentinel-2 MSI,OPTICAL,2026-06-11T06:12:31.683000Z,10.0,EPSG:32642,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/42/Q/WM/2026/6/S2C_42QWM_20260611_1_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,cd806f0c1cfcdede4d4b7c85ad639633fc26cc8fc41d9874d6ba5b7fe1dfef90,SINGLE_IMAGE_VQA,CERTIFIED_VERIFIED
007_kerala_flood,Kerala Flood-Prone Wetland,"Vembanad Lake, Alappuzha, Kerala, India",Sentinel-2 MSI,OPTICAL,2026-09-04T05:26:18.980000Z,10.0,EPSG:32643,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/P/FL/2026/9/S2C_43PFL_20260904_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,e527f10930d761682346ae52fb0cd52b3b8a27872e9ce29c70bad63c4611de0d,WATER_DELINEATION,CERTIFIED_VERIFIED
008_mumbai_coastal,Mumbai Coastal Megacity,"Mumbai, Maharashtra, India",Sentinel-2 MSI,OPTICAL,2026-09-08T05:53:53.728000Z,10.0,EPSG:32642,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/42/Q/ZF/2026/9/S2B_42QZF_20260908_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,ada3934fd9ee04bdf82f36a6b98db8d7c827b9f3dcd03f97ebe7900cecee8d3b,SINGLE_IMAGE_VQA,CERTIFIED_VERIFIED
009_chennai_urban_water,Chennai Urban & Coastal Waterways,"Chennai, Tamil Nadu, India",Sentinel-2 MSI,OPTICAL,2026-09-16T05:15:11.080000Z,10.0,EPSG:32644,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/P/MV/2026/9/S2B_44PMV_20260916_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,15c85761c9a0f08896fbc7be8c84f9fb0f4306dd9a859cf8c2652b411665a9e6,FEATURE_GROUNDING,CERTIFIED_VERIFIED
010_brahmaputra_river,Brahmaputra Braided River,"Guwahati, Assam, India",Sentinel-2 MSI,OPTICAL,2026-03-16T04:41:27.688000Z,10.0,EPSG:32646,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/46/R/CP/2026/3/S2C_46RCP_20260316_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,f3d1bede84e365c5178bf5d08710660db8ab377a2925bcbf681a8010d4bd9688,WATER_DELINEATION,CERTIFIED_VERIFIED
011_himalayas_snow,Himalayan Snow & Glaciated Terrain,"Rohtang Pass, Himachal Pradesh, India",Sentinel-2 MSI,OPTICAL,2026-09-12T05:40:07.518000Z,10.0,EPSG:32643,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/S/FS/2026/9/S2A_43SFS_20260912_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,7c5ab02d00aff17fbe59334985865a864080c371417fa1fd038abd743dd30c60,SINGLE_IMAGE_VQA,CERTIFIED_VERIFIED
012_goa_coast,Goa Coastal Landscape,"Panaji, Goa, India",Sentinel-2 MSI,OPTICAL,2026-05-03T05:44:40.703000Z,10.0,EPSG:32643,512x512,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/P/CT/2026/5/S2C_43PCT_20260503_0_L2A/TCI.tif,CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,48f61e87abb1e6de01d875d7bdcfc9f58216c1261a069cc00115653075e944be,SINGLE_IMAGE_VQA,CERTIFIED_VERIFIED
013_sentinel1_sar_water,Sentinel-1 SAR Water Backscatter,"Chilika Lagoon (Balugaon Shoreline), Odisha, India",Sentinel-1 C-SAR,SAR,2026-09-18T05:03:17.419000Z,10.0,EPSG:32645,512x512,LOCAL_PROCESSED_FROM_SENTINEL1_GRD (co-located S2 TCI reference: sentinel-s2-l2a-cogs/45/Q/UB/2026/9/S2C_45QUB_20260918_0_L2A/TCI.tif),CC-BY-SA 3.0 IGO / Copernicus Open Access Terms,0de4cddcd712912c99600794ffb1f33b085665b008203e1ecb42f69efe41ec66,SAR_ANALYSIS,CERTIFIED_VERIFIED
